food_item_name,calories_per_plate
Grilled Spanish Burger,223
Smoky Chinese Salad,380
Grilled Spanish Risotto,244
Glazed Japanese Waffle,875
Spicy Mexican BBQ,525
Icy Mexican Soup,272
Steamed Indian Pancake,813
Grilled Turkish Salad,478
Tangy Vietnamese Soup,666
Roasted American BBQ,268
Icy French Paella,549
Steamed Italian Pancake,349
Roasted American Risotto,695
Savory Japanese Wrap,141
Rich Middle Eastern Soup,236
Hot American Tacos,202
Roasted Indian Burger,910
Savory Lebanese Dumplings,967
Steamed Chinese Paella,747
Icy Thai Tacos,727
Grilled Mediterranean Biryani,485
Savory Turkish Lasagna,896
Glazed Lebanese Burger,261
Spicy Lebanese Curry,116
Fried Argentinian BBQ,1000
Rustic Vietnamese Grill,598
Grilled Mediterranean Wrap,182
Marinated Korean Curry,106
Creamy Vietnamese Risotto,107
Tangy Middle Eastern Steak,283
Hot Greek BBQ,191
Smoky Mediterranean Pancake,823
Savory Indian Pasta,767
Rustic American Pasta,707
Sweet Middle Eastern Tacos,390
Icy Thai Dumplings,526
Rich Mediterranean Wrap,810
Grilled Brazilian Risotto,926
Spicy French Paella,911
Crispy Japanese Salad,891
Savory Caribbean Curry,587
Roasted Brazilian Sandwich,808
Glazed Indian Paella,229
Marinated Greek Waffle,311
Fried Italian Grill,246
Sweet Brazilian Pasta,755
Marinated Mediterranean Pancake,377
Steamed Argentinian Burger,635
Glazed Mediterranean Biryani,561
Fried Japanese Waffle,521
Tangy American BBQ,344
Tangy Vietnamese Wrap,278
Sweet Korean BBQ,725
Creamy Argentinian Steak,808
Rich Indian Paella,138
Rich Argentinian Waffle,710
Marinated Italian Dumplings,284
Marinated Mediterranean Wrap,834
Rich Italian Risotto,611
Hot Thai Pancake,726
Crispy Korean Sushi,190
Creamy Middle Eastern Soup,742
Smoky Argentinian Pasta,946
Roasted Mexican Biryani,901
Smoky Japanese Dumplings,408
Icy Greek Biryani,456
Icy Moroccan Wrap,528
Rich Italian Pasta,104
Spicy American Dumplings,671
Marinated Japanese Sushi,341
Tangy Moroccan Steak,296
Roasted Moroccan Biryani,220
Fried Mexican Sandwich,642
Steamed Spanish Pasta,197
Tangy Japanese Pancake,733
Hot American Steak,470
Rustic Turkish Waffle,983
Spicy Korean Dumplings,879
